# Constructed from biom file
#OTU ID	Osnat089-0-L	Osnat090-1-L	Osnat091-2-L	Osnat092-3-L	Osnat093-4-L	Osnat094-5-L	Osnat095-6-L	Osnat096-7-L	Osnat097-8-L	Osnat098-9-L	Osnat099-10-L	Osnat100-11-L	Osnat101-12-L	Osnat102-1-DL	Osnat103-2-DL	Osnat104-3-DL	Osnat105-4-DL	Osnat106-5-DL	Osnat158-M-2
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;__	0.0	0.0	3.0	54.0	26.0	33.0	3.0	0.0	14.0	0.0	33.0	61.0	0.0	199.0	1.0	5.0	2.0	0.0	3.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__Nitrosospira	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__TM6;c__SJA-4;o__;f__;g__	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	21.0	33.0	20.0	0.0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__planctomycete	0.0	0.0	2.0	7.0	0.0	27.0	0.0	0.0	9.0	13.0	0.0	9.0	0.0	37.0	3.0	8.0	15.0	3.0	5.0
k__Bacteria;p__Actinobacteria;__;__;__;__	0.0	25.0	0.0	16.0	0.0	16.0	0.0	0.0	26.0	23.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	3.0	5.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__;g__	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	2.0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;__;__	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;__;__;__	0.0	0.0	2.0	33.0	17.0	20.0	0.0	9.0	156.0	25.0	69.0	99.0	49.0	83.0	17.0	36.0	8.0	3.0	7.0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__MVS-65;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	13.0	0.0	0.0	40.0	27.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio	0.0	0.0	0.0	2.0	10.0	3.0	0.0	0.0	0.0	0.0	17.0	2.0	9.0	43.0	13.0	14.0	6.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;__;__	0.0	38.0	0.0	0.0	0.0	24.0	0.0	0.0	29.0	16.0	19.0	12.0	0.0	41.0	0.0	67.0	17.0	0.0	3.0
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Simkaniaceae;g__Simkania	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	5.0	4.0	6.0	18.0	37.0	82.0	20.0	18.0	0.0
